time_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm
22.940697,0.160000,0.020000,0.140000,0.000000,0.000000,0.000000
22.960621,0.140000,0.000000,0.200000,0.000000,0.000000,0.000000
22.980663,0.100000,0.120000,0.180000,0.000000,0.000000,0.000000
23.000696,0.040000,0.120000,0.060000,-0.020000,0.000000,0.000000
23.020644,0.100000,-0.020000,0.240000,0.000000,0.000000,0.000000
23.040682,0.140000,0.060000,0.100000,0.000000,0.000000,0.000000
23.060605,-0.020000,-0.060000,0.120000,0.000000,0.000000,0.000000
23.080640,0.080000,0.000000,0.060000,0.000000,0.000000,0.000000
23.100698,0.180000,0.060000,0.000000,0.000000,0.000000,0.000000
23.120760,-0.040000,0.020000,0.120000,0.000000,0.000000,0.000000
23.140655,-0.020000,0.260000,0.020000,-0.020000,0.000000,0.000000
23.160724,0.000000,0.160000,0.020000,-0.020000,0.000000,0.000000
23.180645,0.140000,0.220000,0.000000,-0.020000,0.000000,0.000000
23.200687,0.000000,0.200000,0.000000,-0.020000,0.000000,0.000000
23.220744,0.040000,0.000000,-0.100000,0.000000,0.000000,0.000000
23.240672,0.020000,0.180000,-0.060000,-0.020000,0.000000,0.000000
23.260708,0.040000,0.140000,-0.040000,0.000000,0.000000,0.000000
23.280628,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000
23.300666,0.040000,0.060000,0.000000,0.000000,0.000000,0.000000
23.320718,0.060000,0.060000,-0.140000,0.000000,0.000000,0.000000
23.340778,0.080000,0.020000,0.100000,0.000000,0.000000,0.000000
23.360692,0.060000,0.000000,0.120000,0.000000,0.000000,0.000000
23.380611,0.120000,0.000000,0.080000,0.000000,0.000000,0.000000
23.400657,0.200000,0.020000,0.020000,0.000000,0.000000,0.000000
23.420705,0.000000,0.200000,-0.080000,0.000000,0.000000,0.000000
23.440623,0.080000,0.240000,0.000000,-0.020000,0.000000,0.000000
23.460675,0.060000,0.080000,0.040000,0.000000,0.000000,0.000000
23.480736,0.020000,0.060000,0.140000,0.000000,0.000000,0.000000
23.500843,0.000000,0.080000,-0.040000,0.000000,0.000000,0.000000
23.520863,0.200000,0.060000,0.140000,0.000000,0.000000,0.000000
23.540818,0.000000,0.220000,0.160000,-0.020000,0.000000,0.000000
23.560810,0.200000,0.140000,0.040000,0.000000,0.000000,0.000000
23.580850,0.020000,0.200000,0.060000,-0.020000,0.000000,0.000000
23.600666,0.000000,0.120000,-0.100000,-0.020000,0.000000,0.000000
23.620704,0.060000,0.060000,-0.020000,0.000000,0.000000,0.000000
23.640776,0.100000,-0.040000,0.000000,0.000000,0.000000,0.000000
23.660694,0.020000,-0.020000,0.020000,0.000000,0.000000,0.000000
23.680705,0.040000,-0.040000,0.020000,0.000000,0.000000,0.000000
23.700636,0.080000,0.140000,0.060000,0.000000,0.000000,0.000000
23.720678,0.240000,0.080000,-0.100000,0.000000,0.020000,0.000000
23.740826,0.120000,0.080000,0.100000,0.000000,0.000000,0.000000
23.760782,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000
23.780715,0.120000,-0.060000,0.000000,0.000000,0.000000,0.000000
23.800763,0.080000,0.000000,0.080000,0.000000,0.000000,0.000000
23.820808,0.240000,0.080000,0.160000,0.000000,0.020000,0.000000
23.840746,0.080000,0.080000,0.020000,0.000000,0.000000,0.000000
23.860645,0.120000,0.000000,0.060000,0.000000,0.000000,0.000000
23.880684,0.100000,-0.020000,0.400000,0.000000,0.000000,0.000000
23.900758,0.060000,0.040000,0.120000,0.000000,0.000000,0.000000
23.920816,0.000000,0.020000,-0.080000,0.000000,0.000000,0.000000
23.940695,0.140000,0.000000,0.220000,0.000000,0.000000,0.000000
23.960602,0.080000,0.100000,0.120000,0.000000,0.000000,0.000000
23.980646,0.080000,0.180000,0.100000,-0.020000,0.000000,0.000000
24.000687,0.140000,0.180000,0.120000,-0.020000,0.000000,0.000000
24.020618,0.080000,0.180000,-0.020000,-0.020000,0.000000,0.000000
24.040679,0.060000,0.000000,0.160000,0.000000,0.000000,0.000000
24.060743,0.000000,0.080000,0.080000,0.000000,0.000000,0.000000
24.080792,0.140000,0.120000,0.060000,0.000000,0.000000,0.000000
24.100720,0.060000,-0.020000,0.240000,0.000000,0.000000,0.000000
24.120785,0.160000,0.240000,0.240000,-0.020000,0.000000,0.000000
24.140699,0.340000,0.120000,0.220000,0.000000,0.020000,0.000000
24.160749,0.100000,0.120000,0.140000,0.000000,0.000000,0.000000
24.180783,0.120000,0.060000,0.200000,0.000000,0.000000,0.000000
24.200711,0.180000,0.120000,0.460000,0.000000,0.000000,0.000000
24.220751,0.020000,0.040000,0.360000,0.000000,0.000000,0.000000
24.240653,0.040000,0.120000,0.240000,0.000000,0.000000,0.000000
24.260842,0.140000,0.120000,0.340000,0.000000,0.000000,0.000000
24.280756,0.120000,0.000000,-0.040000,0.000000,0.000000,0.000000
24.300676,0.060000,0.120000,0.160000,0.000000,0.000000,0.000000
24.320719,0.180000,0.260000,0.380000,-0.020000,0.000000,0.000000
24.340832,0.120000,0.120000,0.160000,0.000000,0.000000,0.000000
24.360714,0.120000,0.060000,0.220000,0.000000,0.000000,0.000000
24.380778,0.020000,0.120000,0.200000,-0.020000,0.000000,0.000000
24.400681,-0.060000,0.020000,0.200000,0.000000,0.000000,0.000000
24.420725,0.080000,0.100000,0.180000,0.000000,0.000000,0.000000
24.440614,0.180000,0.120000,0.180000,0.000000,0.000000,0.000000
24.460666,0.040000,0.240000,0.180000,-0.020000,0.000000,0.000000
24.480735,0.140000,-0.020000,0.100000,0.000000,0.000000,0.000000
24.500906,0.160000,0.140000,0.160000,0.000000,0.000000,0.000000
24.520747,0.060000,0.200000,0.240000,-0.020000,0.000000,0.000000
24.540753,0.100000,-0.020000,0.400000,0.000000,0.000000,0.000000
24.560670,0.140000,0.240000,0.200000,-0.020000,0.000000,0.000000
24.580713,0.000000,0.120000,0.140000,0.000000,0.000000,0.000000
24.600785,0.020000,0.060000,0.100000,0.000000,0.000000,0.000000
24.620699,0.300000,0.260000,0.300000,0.000000,0.000000,0.000000
24.640746,-0.080000,0.080000,0.160000,0.000000,0.000000,0.000000
24.660783,0.140000,0.100000,0.260000,0.000000,0.000000,0.000000
24.680717,0.020000,0.240000,-0.080000,-0.020000,0.000000,0.000000
24.700756,0.160000,0.120000,0.100000,0.000000,0.000000,0.000000
24.720690,-0.040000,0.000000,0.220000,0.000000,0.000000,0.000000
24.740724,0.040000,0.220000,0.280000,-0.020000,0.000000,0.000000
24.760794,0.040000,0.100000,0.360000,0.000000,0.000000,0.000000
24.780672,0.100000,0.120000,-0.060000,0.000000,0.000000,0.000000
24.800737,0.040000,0.180000,0.120000,0.000000,0.000000,0.000000
24.820795,0.120000,0.220000,0.220000,-0.020000,0.000000,0.000000
24.840710,0.160000,0.100000,0.400000,0.000000,0.000000,0.000000
24.860762,0.040000,0.140000,0.120000,-0.020000,0.000000,0.000000
24.880701,0.100000,0.080000,0.160000,0.000000,0.000000,0.000000
24.900730,0.060000,0.180000,0.300000,-0.020000,0.000000,0.000000
24.920703,0.000000,0.140000,0.360000,-0.020000,0.000000,0.000000
24.940704,0.140000,0.120000,0.220000,0.000000,0.000000,0.000000
24.960745,0.140000,0.160000,0.240000,-0.020000,0.000000,0.000000
24.980667,-0.020000,0.080000,0.300000,0.000000,0.000000,0.000000
25.000737,0.140000,0.160000,0.300000,-0.020000,0.000000,0.000000
25.020624,0.080000,0.060000,0.220000,0.000000,0.000000,0.000000
25.040683,0.080000,0.200000,0.460000,-0.020000,0.000000,0.000000
25.060492,0.140000,-0.080000,0.060000,0.000000,0.000000,0.000000
25.080653,-0.040000,-0.080000,0.040000,0.000000,0.000000,0.000000
25.100848,0.160000,0.060000,0.100000,0.000000,0.000000,0.000000
25.120752,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000
25.140669,0.060000,0.000000,0.100000,0.000000,0.000000,0.000000
25.160705,0.040000,0.000000,-0.140000,0.000000,0.000000,0.000000
25.180657,0.140000,0.000000,0.140000,0.000000,0.000000,0.000000
25.200697,0.100000,0.120000,0.100000,0.000000,0.000000,0.000000
25.220743,0.240000,-0.020000,0.280000,0.000000,0.020000,0.000000
25.240631,0.200000,0.060000,0.280000,0.000000,0.000000,0.000000
25.260713,-0.080000,0.000000,0.060000,0.000000,0.000000,0.000000
25.280746,0.100000,0.080000,0.020000,0.000000,0.000000,0.000000
25.300722,0.160000,0.120000,0.060000,0.000000,0.000000,0.000000
25.320752,0.000000,0.240000,0.040000,-0.020000,0.000000,0.000000
25.340801,0.080000,0.120000,0.060000,0.000000,0.000000,0.000000
25.360709,0.040000,0.060000,-0.040000,0.000000,0.000000,0.000000
25.380735,0.140000,-0.040000,0.100000,0.000000,0.000000,0.000000
25.400658,0.200000,-0.020000,0.100000,0.000000,0.000000,0.000000
25.420725,0.060000,-0.060000,0.020000,0.000000,0.000000,0.000000
25.440792,0.240000,0.180000,0.120000,-0.020000,0.020000,0.000000
25.460824,0.020000,0.140000,0.100000,0.000000,0.000000,0.000000
25.480762,0.200000,0.060000,0.000000,0.000000,0.000000,0.000000
25.500887,0.000000,0.060000,0.180000,0.000000,0.000000,0.000000
25.520724,0.060000,-0.100000,0.100000,0.000000,0.000000,0.000000
25.540780,0.000000,-0.020000,0.080000,0.000000,0.000000,0.000000
25.560665,0.100000,0.040000,0.020000,0.000000,0.000000,0.000000
25.580716,0.000000,0.140000,0.020000,-0.020000,0.000000,0.000000
25.600785,0.100000,0.020000,0.100000,0.000000,0.000000,0.000000
25.620697,0.160000,0.180000,0.220000,-0.020000,0.000000,0.000000
25.640733,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
25.660655,0.060000,0.000000,0.020000,0.000000,0.000000,0.000000
25.680682,0.020000,0.100000,0.040000,0.000000,0.000000,0.000000
25.700601,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
25.720646,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
25.740686,0.120000,0.000000,0.220000,0.000000,0.000000,0.000000
25.760633,0.200000,0.060000,-0.060000,0.000000,0.000000,0.000000
25.780647,0.020000,0.140000,-0.040000,0.000000,0.000000,0.000000
25.800592,0.000000,0.200000,0.120000,-0.020000,0.000000,0.000000
25.820644,0.080000,0.060000,-0.160000,0.000000,0.000000,0.000000
25.840696,0.020000,0.060000,-0.060000,0.000000,0.000000,0.000000
25.860610,-0.040000,0.060000,0.060000,0.000000,0.000000,0.000000
25.880648,-0.020000,0.040000,-0.080000,0.000000,0.000000,0.000000
25.900703,-0.020000,0.120000,0.060000,-0.020000,0.000000,0.000000
25.920709,0.060000,0.080000,0.280000,0.000000,0.000000,0.000000
25.940579,0.160000,0.120000,0.160000,0.000000,0.000000,0.000000
25.960593,0.020000,0.060000,0.060000,0.000000,0.000000,0.000000
25.980643,0.080000,0.080000,0.220000,0.000000,0.000000,0.000000
26.000574,0.120000,0.120000,0.240000,0.000000,0.000000,0.000000
26.020593,0.240000,0.240000,0.080000,-0.020000,0.000000,0.000000
26.040666,0.040000,0.180000,0.220000,-0.020000,0.000000,0.000000
26.060581,0.180000,0.120000,0.140000,0.000000,0.000000,0.000000
26.080663,0.120000,0.140000,0.140000,0.000000,0.000000,0.000000
26.100672,0.000000,0.160000,0.280000,-0.020000,0.000000,0.000000
26.120604,0.100000,0.080000,0.060000,0.000000,0.000000,0.000000
